model,year,transmission,mileage,fuelType,tax,mpg,engineSize,price
 X3,2020.0,Semi-Auto,105.0,Diesel,,54.3,2.0,34440
 3 Series,2019.0,Automatic,9839.0,Diesel,,57.7,,25480
 4 Series,2018.0,Semi-Auto,20611.0,Diesel,145.0,60.1,2.0,21990
 2 Series,2018.0,Automatic,12004.0,Petrol,145.0,50.4,1.5,18400
 X2,2019.0,Automatic,123.0,Diesel,145.0,58.9,2.0,30266
 3 Series,2017.0,Semi-Auto,34700.0,Diesel,,64.2,2.0,15995
 7 Series,2013.0,Automatic,81035.0,Diesel,160.0,50.4,3.0,13950
 X4,2019.0,Automatic,7555.0,Diesel,,40.9,3.0,47541
 X4,2015.0,Semi-Auto,8732.0,Diesel,205.0,47.9,3.0,26332
 2 Series,2019.0,Semi-Auto,7460.0,,145.0,47.9,2.0,24054
 1 Series,2019.0,Automatic,,,145.0,42.8,1.5,23770
 3 Series,2011.0,Manual,,Diesel,30.0,62.8,2.0,3500
 3 Series,2016.0,Semi-Auto,,Diesel,145.0,56.5,3.0,16998
 1 Series,2017.0,Automatic,17392.0,Petrol,30.0,55.5,1.5,15000
 X1,2019.0,Semi-Auto,3740.0,Petrol,,44.8,2.0,28790
 3 Series,2016.0,Automatic,30000.0,Diesel,145.0,56.5,3.0,18990
 7 Series,,Automatic,8814.0,Petrol,,35.3,4.4,35480
 X1,2019.0,Automatic,1768.0,,145.0,65.7,2.0,25680
 3 Series,2020.0,Semi-Auto,1370.0,Diesel,150.0,52.3,2.0,32837
 X3,2019.0,Semi-Auto,6012.0,Petrol,145.0,34.5,3.0,39480
 3 Series,,Manual,11701.0,Diesel,150.0,54.3,2.0,27781
 X2,2020.0,Semi-Auto,1500.0,Diesel,145.0,61.4,2.0,32980
 3 Series,2019.0,Automatic,,Diesel,,62.8,2.0,22898
 3 Series,2019.0,Semi-Auto,14612.0,,145.0,41.5,3.0,26260
 5 Series,2020.0,Semi-Auto,2137.0,Diesel,145.0,60.1,3.0,42990
 3 Series,,Manual,2039.0,Diesel,,54.3,2.0,27450
 1 Series,2015.0,Semi-Auto,49394.0,Diesel,30.0,64.2,2.0,13391
 3 Series,2019.0,Semi-Auto,10200.0,Petrol,145.0,41.5,2.0,26484
 1 Series,2015.0,Semi-Auto,38279.0,Diesel,125.0,60.1,,13998
 1 Series,2016.0,,35845.0,Diesel,,83.1,1.5,10699
 X5,2020.0,Semi-Auto,3968.0,Diesel,145.0,33.6,3.0,61980
 1 Series,2015.0,Manual,,Diesel,30.0,65.7,2.0,8990
 1 Series,2019.0,Semi-Auto,10.0,Diesel,,,2.0,27990
 2 Series,,Automatic,,Petrol,200.0,43.5,2.0,14908
 3 Series,2019.0,Manual,2802.0,Diesel,145.0,54.3,2.0,29480
 5 Series,2017.0,Automatic,59069.0,Diesel,,68.9,,15995
 i3,2017.0,Automatic,20082.0,Hybrid,135.0,470.8,0.0,20495
 2 Series,2016.0,Manual,42281.0,Diesel,20.0,68.9,2.0,11850
 1 Series,2013.0,Manual,56000.0,Diesel,,62.8,2.0,9350
 3 Series,2020.0,Semi-Auto,1986.0,Petrol,145.0,40.4,2.0,35000
 2 Series,2019.0,Semi-Auto,1000.0,Petrol,145.0,40.9,,22995
 1 Series,2019.0,Automatic,7314.0,Diesel,,65.7,2.0,21490
 3 Series,2014.0,Automatic,82000.0,Diesel,125.0,58.9,2.0,10990
 X3,2019.0,Semi-Auto,5015.0,Diesel,145.0,54.3,2.0,34450
 4 Series,2017.0,Automatic,61355.0,Diesel,160.0,51.4,,17000
